Label,Frame
none,10
wall,50
poor,95
wall,100
poor,140
wall,150
poor,200
cleaning,250
good,390
cleaning,410
good,490
wall,570
cleaning,605
good,620
cleaning,645
good,810
wall,850
poor,895
wall,900
cleaning,935
good,985
wall,1140
good,1220
cleaning,1240
poor,1380
tools,1390
poor,1410
tools,1480
cleaning,1490
good,1495
tools,1585
wall,1620
poor,1645
cleaning,1720
good,1745
wall,1825
poor,1880
wall,1985
poor,2020
wall,2115
poor,2215
wall,2295
cleaning,2320
poor,2345
cleaning,2380
poor,2400
cleaning,2445
poor,2550
cleaning,2590
good,2650
cleaning,2675
good,2750
wall,2840
cleaning,2865
poor,2900
wall,2915
poor,2955
cleaning,2980
poor,3050
cleaning,3070
poor,3120
tools,3190
poor,3270
cleaning,3310
poor,3355
good,3365
wall,3375
cleaning,3400
poor,3615
good,3650
cleaning,3665
poor,3690
cleaning,3740
wall,3780
poor,3860
good,3880
poor,3920
cleaning,3935
poor,4095
tools,4140
poor,4155
cleaning,4175
poor,4270
good,4290
poor,4445
wall,4505
cleaning,4590
poor,4620
cleaning,4660
poor,4675
tools,4750
poor,4790
cleaning,4865
poor,4885
cleaning,4935
poor,5015
cleaning,5070
good,5160
poor,5335
tools,5390
wall,5415
cleaning,5495
good,5525
cleaning,5640
poor,5730
good,5805
wall,5820
cleaning,5875
poor,5900
good,5985
cleaning,6020
poor,6105
cleaning,6145
poor,6275
good,6315
tools,6385
wall,6405
good,6440
cleaning,6485
good,6525
cleaning,6590
wall,6720
poor,6810
wall,6850
good,7075
tools,7125
cleaning,7150
poor,7185
cleaning,7215
poor,7385
tools,7420
poor,7485
tools,7540
poor,7550
cleaning,7640
poor,7700
good,7795
tools,7895
wall,7970
poor,8035
tools,8125
poor,8165
cleaning,8195
poor,8345
tools,8455
poor,8470
cleaning,8525
good,8660
cleaning,8685
good,8765
wall,8770
tools,8795
